site_id,azimuth_deg,uncertainty_deg,period,setting,context_note
CH01,73,1.0,Medieval,open terrain,clear longitudinal axis
CH02,78,1.0,Medieval,open terrain,clear longitudinal axis
CH03,80,0.8,Medieval,gentle slope,clear longitudinal axis
CH04,82,1.2,Medieval,open terrain,clear longitudinal axis
CH05,83,0.7,Medieval,open terrain,clear longitudinal axis
CH06,84,1.0,Medieval,gentle slope,clear longitudinal axis
CH07,85,0.8,Medieval,open terrain,clear longitudinal axis
CH08,86,0.9,Medieval,open terrain,clear longitudinal axis
CH09,87,1.0,Medieval,open terrain,clear longitudinal axis
CH10,88,0.7,Medieval,gentle slope,clear longitudinal axis
CH11,88,0.8,Medieval,open terrain,clear longitudinal axis
CH12,89,1.1,Medieval,open terrain,clear longitudinal axis
CH13,90,0.6,Medieval,open terrain,clear longitudinal axis
CH14,90,0.8,Medieval,open terrain,clear longitudinal axis
CH15,91,0.7,Medieval,open terrain,clear longitudinal axis
CH16,92,0.9,Medieval,gentle slope,clear longitudinal axis
CH17,92,1.0,Early modern,open terrain,clear longitudinal axis
CH18,93,0.8,Early modern,open terrain,clear longitudinal axis
CH19,94,0.7,Early modern,open terrain,clear longitudinal axis
CH20,95,0.9,Early modern,open terrain,clear longitudinal axis
CH21,96,0.8,Early modern,open terrain,clear longitudinal axis
CH22,97,1.1,Early modern,gentle slope,clear longitudinal axis
CH23,98,0.7,Early modern,open terrain,clear longitudinal axis
CH24,99,0.8,Early modern,open terrain,clear longitudinal axis
CH25,100,1.0,Early modern,settlement edge,clear longitudinal axis
CH26,101,0.9,Early modern,open terrain,clear longitudinal axis
CH27,102,0.8,Early modern,gentle slope,clear longitudinal axis
CH28,104,1.1,Early modern,settlement edge,clear longitudinal axis
CH29,105,1.0,Early modern,open terrain,clear longitudinal axis
CH30,107,1.2,Early modern,gentle slope,clear longitudinal axis
CH31,109,0.9,Modern,open terrain,clear longitudinal axis
CH32,112,1.0,Modern,gentle slope,clear longitudinal axis
CH33,115,1.2,Modern,settlement edge,clear longitudinal axis
CH34,118,1.3,Modern,street/parcel constraint,orientation plausibly affected by local setting
CH35,122,1.4,Modern,gentle slope,clear longitudinal axis
CH36,128,1.5,Modern,street/parcel constraint,orientation plausibly affected by local setting
CH37,135,1.5,Modern,steep slope,orientation plausibly affected by local setting
CH38,147,1.8,Modern,street/parcel constraint,orientation plausibly affected by local setting
CH39,56,1.6,Modern,steep slope,orientation plausibly affected by local setting
CH40,170,2.0,Modern,strong local constraint,orientation plausibly affected by local setting
