record_id,tradition,azimuth_deg,record_type,context_note
ET01,Morning-facing practice,70.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET02,Morning-facing practice,74.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET03,Morning-facing practice,76.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET04,Morning-facing practice,78.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET05,Morning-facing practice,79.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET06,Morning-facing practice,80.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET07,Morning-facing practice,81.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET08,Morning-facing practice,82.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET09,Morning-facing practice,82.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET10,Morning-facing practice,83.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET11,Morning-facing practice,84.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET12,Morning-facing practice,85.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET13,Morning-facing practice,86.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET14,Morning-facing practice,87.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET15,Morning-facing practice,88.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET16,Morning-facing practice,90.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET17,Morning-facing practice,92.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET18,Morning-facing practice,94.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET19,Morning-facing practice,96.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET20,Morning-facing practice,98.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET21,Evening-facing practice,248.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET22,Evening-facing practice,252.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET23,Evening-facing practice,255.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET24,Evening-facing practice,257.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET25,Evening-facing practice,259.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET26,Evening-facing practice,260.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET27,Evening-facing practice,261.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET28,Evening-facing practice,262.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET29,Evening-facing practice,263.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET30,Evening-facing practice,264.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET31,Evening-facing practice,265.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET32,Evening-facing practice,266.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET33,Evening-facing practice,267.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET34,Evening-facing practice,268.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET35,Evening-facing practice,270.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET36,Evening-facing practice,272.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET37,Evening-facing practice,274.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET38,Evening-facing practice,276.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET39,Evening-facing practice,279.0,synthetic field record,fictional teaching example; direction is treated as meaningful
ET40,Evening-facing practice,283.0,synthetic field record,fictional teaching example; direction is treated as meaningful
